source_id,target_key,trim,year_month,mileage_km,price_won
41884549,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,22090,34000000
41885026,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,8930,36800000
41889324,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,8930,36800000
41893874,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-09,8562,38490000
41894550,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-09,8562,38490000
41902525,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,12174,32500000
41904371,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,12174,32500000
41904569,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-07,3496,34490000
41908366,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,39792,34500000
41911346,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-07,3496,34490000
41913204,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-05,24733,33000000
41914842,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,15087,34500000
41924706,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,15087,34500000
41946182,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-03,6200,24260000
41961697,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-11,26918,31700000
41964111,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-11,26918,31700000
41967112,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-01,5037,35000000
41977528,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-01,5037,35000000
42014796,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-11,37675,31300000
42014959,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-06,14783,35500000
42016736,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-06,23554,36990000
42028114,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-11,37675,31300000
42046657,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-01,31777,30500000
42047161,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-06,11550,35200000
42047175,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-09,18877,33900000
42057158,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-06,11550,35200000
42059710,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-09,18877,33900000
42064508,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-07,11837,33900000
42064992,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-07,11837,33900000
42066844,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-02,15384,32900000
42070962,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-07,8321,34990000
42074192,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-07,8321,34990000
42094696,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,18262,34500000
42103021,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-03,13500,34500000
42109483,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,10000,33600000
42115217,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-04,1,22560000
42116832,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,10000,33600000
42117856,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-04,1,22560000
42142110,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-01,9832,34700000
42142528,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-01,9832,34700000
42143099,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,25787,28300000
42146278,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-03,19014,36500000
42155969,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,25787,28300000
42162787,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,43574,30500000
42166932,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,43574,30500000
42173891,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-11,44745,28400000
42179664,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-04,1,23520000
42180994,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-06,5,24480000
42181099,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-09,13000,38300000
42182369,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-06,32066,31500000
42187407,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,24665,31700000
42192779,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-12,24277,32800000
42196934,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-04,1,22560000
42198005,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-09,24665,31700000
42201954,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-04,1,22560000
42203885,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-03,1,22560000
42215478,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2025-06,13666,35990000
42218776,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-02,15280,32300000
